MARKETGROUPID;PARENTGROUPID;MARKETGROUPNAME;DESCRIPTION;ICONID;HASTYPES
711;1708;Cargo Scanners;For remote scanning of a target ship's cargo hold.;;1
712;1708;Scan Probe Launchers;Launcher bays designed to fire scan probes for stellar triangulation.;;1
713;1708;Ship Scanners;Provide tactical analysis of a target ship's capabilities.;;1
714;1708;Survey Scanners;For analysis of the composition of asteroids and other celestial objects.;;1
715;677;Magnetometric Jammers;Targeting jammers specialized for use against magnetometric sensors.;;1
716;677;Ladar Jammers;Targeting jammers specialized for use against ladar sensors.;;1
717;677;Gravimetric Jammers;Targeting jammers specialized for use against gravimetric sensors.;;1
718;677;Radar Jammers;Targeting jammers specialized for use against radar sensors.;;1
719;677;Multi Spectrum Jammers;Targeting jammers that induce multispectral sensor disruption.;;1
720;681;Gravimetric Backup Arrays;Reduces the sensors' vulnerability to gravimetric jamming.;;1
721;681;Ladar Backup Arrays;Reduces the sensors' vulnerability to Ladar jamming.;;1
722;681;Radar Backup Arrays;Reduces the sensors' vulnerability to Radar jamming.;;1
723;681;Magnetometric Backup Arrays;Reduces the sensors' vulnerability to magnetometric jamming.;;1
724;681;Multi-Frequency Backup Arrays;Reduces the sensors' vulnerability to multiple forms of jamming.;;1
725;685;Gravimetric Sensors;Boost a ship's gravimetric sensor strength for a short duration.;;1
726;685;Ladar Sensors;Boost a ship's ladar sensor strength for a short duration.;;1
727;685;Magnetometric Sensors;Boost a ship's magnetometric sensor strength for a short duration.;;1
728;685;Multi-Spectrum Sensors;Boost a ship's sensors across the spectrum for a short duration.;;1
729;685;Radar Sensors;Boost a ship's radar sensor strength for a short duration.;;1
730;616;Amarr Navy;Officially sanctioned Amarr Navy insignias.;;1
731;616;Ammatar Navy;Officially sanctioned Ammatar Navy insignias.;;1
732;616;Caldari Navy;Officially sanctioned Caldari Navy insignias.;;1
733;616;CONCORD;Officially sanctioned CONCORD insignias.;;1
734;616;Gallente Navy;Officially sanctioned Gallente Navy insignias.;;1
735;616;Khanid Navy;Officially sanctioned Khanid Navy insignias.;;1
736;616;Minmatar Fleet;Officially sanctioned Minmatar Fleet insignias.;;1
737;616;Individuals;Individual identification tags.;;1
738;19;Nexus Chips;For storage of artificial intelligence systems.;;1
739;19;Criminal Dog Tags;Criminal organizations' identification tags.;2325;0
740;739;Angels;Angel Cartel identification tags.;;1
741;739;Blood Raiders;Blood Raider identification tags.;;1
742;739;Dark Blood;Dark Blood identification tags.;;1
743;739;Domination;Angel Dominations identification tags.;;1
744;739;Dread Guristas;Dread Guristas identification tags.;;1
745;739;Guristas;Guristas identification tags.;;1
746;739;Sansha;Sansha's Nation identification tags.;;1
747;739;Serpentis;Serpentis identification tags.;;1
748;739;Shadow Serpentis;Shadow Serpentis identification tags.;;1
749;739;True Sansha;True Sansha identification tags.;;1
750;739;Commanders;The identification tags of CONCORD's most wanted.;;1
751;614;Overseer's Personal Effects;Proof that there's one less evil bastard in the world.;2039;1
752;614;Criminal DNA Patterns;Physical proof of a dastardly villain's demise.;2302;1
753;211;Mining Crystals;Blueprints of mining crystals.;;1
754;19;Political Paraphernalia;Political propaganda & those that engage in it.;;1
757;657;Target Painters;Project an electronic signal towards a target, increasing its signature radius.;;1
759;533;Alloys & Compounds;Various compounds composed of asteroid ores.;;1
760;9;Civilian Modules;Modules whose specifications are geared toward use on rookie ships.;;1
761;1381;Dreadnoughts;Capital ships created for extended sieges of stationary installations.;1443;0
762;761;Amarr;Amarr dreadnought designs.;;1
763;761;Caldari;Caldari dreadnought designs.;;1
764;761;Gallente;Gallente dreadnought designs.;;1
765;761;Minmatar;Minmatar dreadnought designs.;;1
766;1381;Freighters;Capital ships, able to transport a world and a half and then some.;1443;0
767;766;Amarr;Amarr freighter designs.;;1
768;766;Caldari;Caldari freighter designs.;;1
769;766;Gallente;Gallente freighter designs.;;1
770;766;Minmatar;Minmatar freighter designs.;;1
771;556;Extra Large;Capital ship blasters, for use on dreadnoughts and titans.;;1
772;555;Extra Large;Capital ship railguns, for use on dreadnoughts and titans.;;1
773;557;Extra Large;Capital ship beam lasers, for use on dreadnoughts and titans.;;1
774;558;Extra Large;Capital ship pulse lasers, for use on dreadnoughts and titans.;;1
775;560;Extra Large;Capital ship artillery cannons, for use on dreadnoughts and titans.;;1
776;559;Extra Large;Capital ship autocannons, for use on dreadnoughts and titans.;;1
777;140;Citadel Launchers;For the launching of citadel torpedoes.  Can only be fitted on dreadnoughts and titans.;;1
778;552;Capital;Shield boosters for capital ships;;1
779;9;Fleet Assistance Modules;Modules used to assist fleet members.;20969;0
780;1035;Station Components;Modular items used in the manufacture of Space Stations.;;1
781;1035;Capital Ship Components;Modular components used in the manufacture of capital ships.;;1
782;204;Dreadnoughts;Blueprints of dreadnought-class vessels.;2703;0
783;782;Amarr;Blueprints of Amarr dreadnought designs.;;1
784;782;Caldari;Blueprints of Caldari dreadnought designs.;;1
785;782;Gallente;Blueprints of Gallente dreadnought designs.;;1
786;782;Minmatar;Blueprints of Minmatar dreadnought designs.;;1
787;204;Freighters;Blueprints of freighter-class vessels.;2703;0
788;787;Amarr;Blueprints of Amarr freighter designs.;;1
789;787;Caldari;Blueprints of Caldari freighter designs.;;1
790;787;Gallente;Blueprints of Gallente freighter designs.;;1
791;787;Minmatar;Blueprints of Minmatar freighter designs.;;1
792;286;Extra Large;Blueprints of capital-sized hybrid turrets.;;1
793;287;Extra Large;Blueprints of capital-sized projectile turrets.;;1
794;288;Extra Large;Blueprints of capital-sized laser turrets.;;1
796;800;Capital Ship Components;Blueprints of Capital Ship Components.;;1
798;800;Outpost Construction Platforms;Blueprints of Outpost Construction Platforms.;;1
799;209;Fleet Assistance Modules;Blueprints of Fleet Assistance Modules.;;1
800;1041;Components;Blueprints for intermediary items used in the production of more advanced items.;2703;0
801;143;Siege Modules;Modules designed to augment and enhance a capital ship's siege warfare abilities.;;1
802;65;Amarr;Components used in the manufacture of Amarrian Tech II equipment.;;1
803;65;Caldari;Components used in the manufacture of Caldari Tech II equipment.;;1
804;65;Gallente;Components used in the manufacture of Gallentean Tech II equipment.;;1
805;65;Minmatar;Components used in the manufacture of Matari Tech II equipment.;;1
806;1036;Prototypes and Decryptors;Materials used in the construction of specific equipment.;2889;0
807;1036;Artifacts and Lore;Ancient remnants of long-lost civilizations.;2887;0
808;806;Angel Materials;Materials used in the construction of specific factional equipment.;;1
809;806;Guristas Materials;Materials used in the construction of specific factional equipment.;;1
810;807;Sleeper;Artifacts of the Sleeper civilization.;;1
811;807;Talocan;Artifacts of the Talocan civilization.;;1
812;1381;Titans;Fathers of the fleet, the biggest of the big.;1443;0
813;812;Amarr;Amarr titan designs.;;1
814;812;Caldari;Caldari titan designs.;;1
815;812;Gallente;Gallente titan designs.;;1
816;812;Minmatar;Minmatar titan designs.;;1
817;1381;Carriers;Capital warships, able to transport and deploy hordes of smaller vessels into the field.;1443;0
818;817;Amarr;Amarr carrier designs.;;1
819;817;Caldari;Caldari carrier designs.;;1
820;817;Gallente;Gallente carrier designs.;;1
821;817;Minmatar;Minmatar carrier designs.;;1
822;1375;Command Ships;Battlecruiser-class vessels, designed to aid their allies on the battlefield.;1443;0
823;1373;Interdictors;Destroyer-class vessels designed to pull other starships out of warp.;1443;0
824;1368;Recon Ships;Cruisers specialized in reconaissance operations and electronic warfare.;1443;0
825;822;Amarr;Amarr command ship designs.;;1
826;823;Amarr;Amarr interdictor designs.;;1
827;824;Amarr;Amarr recon ship designs.;;1
828;822;Caldari;Caldari command ship designs.;;1
829;823;Caldari;Caldari interdictor designs.;;1
830;824;Caldari;Caldari recon ship designs.;;1
831;822;Gallente;Gallente command ship designs.;;1
832;823;Gallente;Gallente interdictor designs.;;1
833;824;Gallente;Gallente recon ship designs.;;1
834;822;Minmatar;Minmatar command ship designs.;;1
835;823;Minmatar;Minmatar interdictor designs.;;1
836;824;Minmatar;Minmatar recon ship designs.;;1
837;159;Light Scout Drones;Light Scout Drones;;1
838;159;Medium Scout Drones;Medium Scout Drones;;1
839;159;Heavy Attack Drones;Heavy Attack Drones;;1
840;159;Fighters;Single-pilot combat vessels, deployable from Carriers and Supercarriers.;;1
841;157;Electronic Warfare Drones;Electronic Warfare Drones;;1
842;157;Logistic Drones;Logistic Drones;;1
843;157;Combat Utility Drones;Combat Utility Drones;;1
845;99;Standard Ammo;Standard projectile rounds.;1004;0
846;99;Advanced Artillery Ammo;Ultra-heavy shells incorporating cutting-edge technology.;1287;0
847;99;Advanced Autocannon Ammo;Sophisticated autocannon munitions incorporating cutting-edge technology.;1291;0
848;100;Standard Charges;Standard hybrid slugs.;1047;0
849;100;Advanced Blaster Charges;Technologically advanced blaster ammunition.;1310;0
850;100;Advanced Railgun Charges;Technologically advanced railgun ammunition.;1311;0
851;101;Standard Crystals;The standard in energy beam frequenzy modulation.;1142;0
852;101;Advanced Beam Laser Crystals;Technologically advanced beam laser crystals.;1145;0
853;101;Advanced Pulse Laser Crystals;Technologically advanced pulse laser crystals.;1140;0
854;846;Large;Large ADAR ammunition, fired by battleship-sized guns.;;1
855;846;Medium;Medium ADAR ammunition, fired by cruiser-sized guns.;;1
856;846;Small;Small ADAR ammunition, fired by frigate-sized guns.;;1
857;847;Large;Large ADAC ammunition, fired by battleship-sized guns.;;1
858;847;Medium;Medium ADAC ammunition, fired by cruiser-sized guns.;;1
859;847;Small;Small ADAC ammunition, fired by frigate-sized guns.;;1
860;849;Large;Large advanced hybrid shells, fired by battleship-sized guns.;;1
861;849;Medium;Medium advanced hybrid shells, fired by cruiser-sized guns.;;1
862;849;Small;Small advanced hybrid shells, fired by frigate-sized guns.;;1
863;850;Large;Large advanced railgun ammunition, fired by battleship-sized guns.;;1
864;850;Medium;Medium advanced railgun ammunition, fired by cruiser-sized guns.;;1
865;850;Small;Small advanced railgun ammunition, fired by frigate-sized guns.;;1
866;852;Large;Large advanced beam laser crystals, for use with battleship-sized lasers.;;1
867;852;Medium;Medium advanced beam laser crystals, for use with cruiser-sized lasers.;;1
868;852;Small;Small advanced beam laser crystals, for use with frigate-sized lasers.;;1
869;853;Large;Large advanced pulse laser crystals, for use with battleship-sized lasers.;;1
870;853;Medium;Medium advanced pulse laser crystals, for use with cruiser-sized lasers.;;1
871;853;Small;Small advanced pulse laser crystals, for use with frigate-sized lasers.;;1
872;656;Tractor Beams;Tractor Beams;;1
874;1384;Exhumers;Elite Mining Barges;;1
878;204;Titans;Blueprints of titan-class vessels.;2703;0
879;204;Carriers;Blueprints of carrier- and mothership-class vessels.;2703;0
880;204;Interdictors;Blueprints of interdictor-class vessels.;2703;0
881;204;Command Ships;Blueprints of command ship-class vessels.;2703;0
882;204;Recon Ships;Blueprints of recon ship-class designs.;2703;0
883;204;Exhumers;Blueprints of Exhumers.;2703;0
884;878;Amarr;Blueprints of Amarr titan designs.;;1
885;878;Caldari;Blueprints of Caldari titan designs.;;1
886;878;Gallente;Blueprints of Gallente titan designs.;;1
887;878;Minmatar;Blueprints of Minmatar titan designs.;;1
888;879;Amarr;Blueprints of Amarr carrier and mothership designs.;;1
889;879;Caldari;Blueprints of Caldari carrier and mothership designs.;;1
890;879;Gallente;Blueprints of Gallente carrier and mothership designs.;;1
891;879;Minmatar;Blueprints of Minmatar carrier and mothership designs.;;1
892;880;Amarr;Blueprints of Amarr interdictor designs.;;1
893;880;Caldari;Blueprints of Caldari interdictor designs.;;1
894;880;Gallente;Blueprints of Gallente interdictor designs.;;1
895;880;Minmatar;Blueprints of Minmatar interdictor designs.;;1
896;881;Amarr;Blueprints of Amarr command ship designs.;;1
897;881;Caldari;Blueprints of Caldari command ship designs.;;1
898;881;Gallente;Blueprints of Gallente command ship designs.;;1
899;881;Minmatar;Blueprints of Minmatar command ship designs.;;1
900;882;Amarr;Blueprints of Amarr recon ship designs.;;1
901;882;Caldari;Blueprints of Caldari recon ship designs.;;1
902;882;Gallente;Blueprints of Gallente recon ship designs.;;1
903;882;Minmatar;Blueprints of Minmatar recon ship designs.;;1
904;883;ORE;Blueprints of ORE exhumer designs.;;1
905;1578;Tractor Beams;Blueprints of tractor beams.;;1
906;806;Blood Raider Materials;Materials used in the construction of specific factional equipment.;;1
907;806;Serpentis Materials;Materials used in the construction of specific factional equipment.;;1
908;807;Yan Jung;Artifacts of the Yan Jung civilization.;;1
909;807;Takmahl;Artifacts of the Takmahl civilization.;;1
910;663;Capital;Capital ship-sized energy transfer arrays.;;1
911;159;Sentry Drones;Deployable watchdogs.;;1
912;10;Doomsday Devices;The titan's fist.;;1
913;210;Doomsday Devices;Doomsday Devices;;1
914;115;Standard Auto-Targeting;Standard Auto-Targeting;;1
917;117;Advanced High Precision Light Missiles;Advanced High Precision Light Missiles;;1
918;580;Advanced High Precision Cruise Missiles;Advanced High Precision Cruise Missiles;;1
919;581;Advanced High Precision Heavy Missiles;Advanced High Precision Heavy Missiles;;1
920;117;Standard Light Missiles;Standard Light Missiles;;1
921;580;Standard Cruise Missiles;Standard Cruise Missiles;;1
922;118;Standard Rockets;Standard Rockets;;1
923;387;Standard Torpedoes;Standard Torpedoes;;1
924;581;Standard Heavy Missiles;Standard Heavy Missiles;;1
925;580;Advanced High Damage Cruise Missiles;Advanced High Damage Cruise Missiles;;1
926;581;Advanced High Damage Heavy Missiles;Advanced High Damage Heavy Missiles;;1
927;117;Advanced High Damage Light Missiles;Advanced High Damage Light Missiles;;1
928;118;Advanced Long Range Rockets;Advanced Long Range Rockets;;1
929;387;Advanced Long Range Torpedoes;Advanced Long Range Torpedoes;;1
930;118;Advanced Anti-Ship Rockets;Advanced Anti-Ship Rockets;;1
931;387;Advanced Anti-Ship Torpedoes;Advanced Anti-Ship Torpedoes;;1
932;1285;Assembly Arrays;Structures which house manufacturing facilities.;;1
933;1285;Mobile Laboratory;Structures with research facilities.;;1
935;1713;Mining Upgrades;Subsystems designed to improve mining laser efficiency.;;1
937;1711;Mining Upgrades;Blueprints of mining upgrades.;;1
938;9;Drone Upgrades;Subsystems designed to increase drone efficiency.;;1
939;209;Drone Upgrades;Blueprints of drone upgrades.;;1
940;19;Starbase Charters;The required licences to operate starbases within the borders of the empires.;;1
941;1524;Tool Blueprints;Blueprints of Production and Research Tools.;;1
942;533;Salvaged Materials;Materials salvaged from destroyed starships.;;1
943;2;Ship Modifications;Daring captains can modify the performance of their ship by jury rigging it.;2703;0
944;943;Armor Rigs;Permanent modification of a ship's armor facilities.;2703;0
945;943;Astronautic Rigs;Permanent modification of a ship's astronautic facilities.;2703;0
946;943;Drone Rigs;Permanent modification of a ship's drone facilities.;2703;0
948;943;Electronics Superiority Rigs;Permanent modification of a ship's electronics superiority facilities.;2703;0
949;943;Engineering Rigs;Permanent modification of a ship's energy grid facilities.;2703;0
950;943;Energy Weapon Rigs;Permanent modification of a ship's energy weapon facilities.;2703;0
951;943;Hybrid Weapon Rigs;Permanent modification of a ship's hybrid weapon facilities.;2703;0
952;943;Missile Launcher Rigs;Permanent modification of a ship's missile launcher facilities.;2703;0
953;943;Projectile Weapon Rigs;Permanent modification of a ship's projectile weapon facilities.;2703;0
954;943;Shield Rigs;Permanent modification of a ship's shield facilities.;2703;0
955;;Ship Modifications;Rigs and subsystems that alter a starship's attributes in such a way as to make it more effective in a focused role.;2887;0
956;1111;Armor Rigs;Permanent modification of a ship's armor facilities.;3194;0
957;1111;Astronautic Rigs;Permanent modification of a ship's astronautic facilities.;3196;0
958;1111;Drone Rigs;Permanent modification of a ship's drone facilities.;3200;0
960;1111;Electronics Superiority Rigs;Permanent modification of a ship's electronics superiority facilities.;3198;0
961;1111;Engineering Rigs;Permanent modification of a ship's energy grid facilities.;3195;0
962;1111;Energy Weapon Rigs;Permanent modification of a ship's energy weapon facilities.;3203;0
963;1111;Hybrid Weapon Rigs;Permanent modification of a ship's hybrid weapon facilities.;3202;0
964;1111;Missile Launcher Rigs;Permanent modification of a ship's missile launcher facilities.;3197;0
965;1111;Shield Rigs;Permanent modification of a ship's shield facilities.;3193;0
966;1036;Datacores;Research Data;;1
967;677;Signal Distortion Amplifier;Ship systems that amplify the distortion signal generated by electronic counter measure systems.;;1
968;114;Heavy Assault Missiles;Jet-propelled projectiles for heavy assault launchers.;186;0
971;968;Standard Heavy Assault Missiles;Standard heavy assault missiles.;;1
972;968;Advanced Long Range Heavy Assault Missiles;Advanced long range heavy assault missiles.;;1
973;968;Advanced Anti-Ship Heavy Assault Missile;Advanced anti-ship heavy assault missiles.;;1
974;140;Heavy Assault Launchers;For the launching of assault missiles.;;1
975;314;Heavy Assault Missiles;Blueprints of heavy assault missiles.;;1
977;24;Booster;Synthetic compounds designed to push you beyond the edge of your capabilities... at a cost, of course. ;;1
979;1111;Projectile Weapon Rigs;Permanent modification of a ship's projectile weapon facilities.;3201;0
980;1036;Data Interfaces;Portable data storage and retrieval interface devices.;;1
981;507;Simple Biochemical Reactions;Biochemical processes through which raw materials are made into compounds.;;1
982;507;Complex Biochemical Reactions;Biochemical processes through which compounds are combined into complex materials.;;1
983;1032;Gas Clouds;Voluminous clouds of various gases that can be found in space.;;1
984;1032;Booster Material;Various types of biochemical boosters, most often used by pod pilots.;;1
986;99;Faction Ammo;Enhanced ammunition designed and manufactured by the factions of New Eden;1288;0
987;986;Large;Large faction ammunition, fired by battleship-sized guns.;;1
988;986;Medium;Medium faction ammunition, fired by cruiser-sized guns;;1
989;986;Small;Small faction ammunition, fired by frigate-sized guns;;1
990;100;Faction Charges;Enhanced ammunition designed and manufactured by the factions of New Eden;1313;0
991;990;Large;Large faction issue hybrid shells, fired by battleship-sized guns.;;1
992;990;Medium;Medium faction issue hybrid shells, fired by cruiser-sized guns.;;1
993;990;Small;Small faction issue hybrid shells, fired by frigate-sized guns.;;1
994;101;Faction Crystals;Enhanced frequenzy crystals designed and manufactured by the factions of New Eden;1141;0
995;994;Large;Large faction issue frequenzy crystals, for use with battleship-size lasers.;;1
996;994;Medium;Medium faction issue frequenzy crystals, for use with cruiser-size lasers.;;1
997;994;Small;Small faction issue frequenzy crystals, for use with frigate-size lasers.;;1
998;117;Faction Light Missiles;Faction issue light missiles.;;1
999;118;Faction Rockets;Faction issue rockets.;;1
1000;387;Faction Torpedoes;Faction issue torpedoes.;;1
1001;580;Faction Cruise Missiles;Faction issue cruise missiles.;;1
1002;581;Faction Heavy Missiles;Faction issue heavy missiles.;;1
1003;968;Faction Heavy Assault Missiles;Faction issue heavy assault missiles.;;1
1004;990;Extra Large;Fired by dreadnaught-sized guns and stationary defense systems.;;1
1006;986;Extra Large;Fired by dreadnaught-sized guns and stationary defense systems.;;1
1007;994;Extra Large;Faction issue frequenzy crystals for use with dreadnought-sized lasers and stationary defense systems.;;1
1008;406;Cargo Containers;Blueprints of Cargo Containers.;;1
1009;480;Energy Neutralization Batteries;A starbase array designed to neutralize the capacitor of hostile ships in the area.;;1
1010;1285;System Scanning Array;A system-wide intelligence gathering array.;;1
1011;1285;Jump Bridge ;A bridge of light, spanning the cold and empty void between the stars.;;1
1012;1285;Cynosural System Jammer;The lock and key to a system's highway of cynosural passage.;;1
1013;1285;Cynosural Generator Array;A lighthouse in the sea of nothing, casting its cynosural light out to far-off ships.;;1
1014;10;Bomb Launchers;Large launchers, designed for stealth bombers for bomb deployment.;;1
1015;11;Bombs;Large, area of effect weapons, used by stealth bombers.;;1
1016;211;Bombs;Blueprints of bombs.;;1
1018;14;Remote Hull Repairers;Repair the hulls of your allies at range, always handy after those close call situations.;80;0
1019;210;Bomb Launchers;Blueprints of bomb launchers.;;1
1021;1035;Outpost Improvement Platforms;Improvements to those glorious centers of community, outposts.;3303;0
1022;1021;Amarr Improvement Platforms;Improvements specifically designed for amarrian outposts.;;1
1023;1021;Caldari Improvement Platforms;Improvements specifically designed for caldariann outposts.;;1
1024;1021;Gallente Improvement Platforms;Improvements specifically designed for gallentean outposts.;;1
1025;1021;Minmatar Improvement Platforms;Improvements specifically designed for minmatarian outposts.;;1
1027;1021;Outpost Upgrade Platforms;Upgrade platforms for outposts, intended as a base for further improvements.;;1
1028;1530;Fighters;Blueprints of fighter designs.;;1
1029;357;Electronic Warfare Drones;Blueprints of electronic warfare drone designs.;;1
1030;357;Logistic Drones;Blueprints of logistics drone designs.;;1
1031;533;Ore & Minerals ;The building blocks of New Eden.;1277;0
1032;533;Gas Clouds & Boosters;Voluminous clouds of various gases, found in space, that can be extracted and used in the manufacturing of biochemical boosters.;2664;0
1033;533;Ice & Ice Products;Ice asteroids and the material & isotopes harvested from them.;2554;0
1034;533;Moon Materials;The various types of raw materials harvested from the moons of New Eden.;2567;0
1035;475;Components;Preconstructed components, ready to be used in all kinds of high end manufacturing.;1436;0
1036;1035;Research & Invention;The path of enlightenment. ;2225;0
1037;1713;Gas Cloud Harvesters;Gas cloud harvester designs.;;1
1038;1713;Ice Harvesters;Ice harvester designs.;;1
1039;1713;Mining Lasers;Mining laser designs.;;1
1040;1713;Strip Miners;Strip miner designs.;;1
1041;2;Manufacture & Research;Blueprints related to Manufacture and research processes;2703;0
1042;1522;Ore Compression Blueprints;Blueprints for ore compression methods.;;1
1043;1522;Ice Compression Blueprints;Blueprints for ice compression methods.;;1
1045;204;Capital Industrial Ships;Blueprints of Capital Industrial Ships.;2703;0
1046;1045;ORE;Blueprints of ORE Capital Industrial Ship designs.;;1
1047;1381;Capital Industrial Ships;Capital ships designed to be the industrial backbone of any fleet.;1443;0
1048;1047;ORE;ORE capital industrial ship designs.;;1
1049;134;Small ;Armor repair designs, intended for frigate-class vessels.;;1
1050;134;Medium;Armor repair designs, intended for cruiser-class vessels.;;1
1051;134;Large;Armor repair designs, intended for battleship-class vessels.;;1
1052;134;Capital;Armor repair designs, intended for capital-class vessels.;;1
1053;538;Small;Hull repair system designs, intended for frigate-class vessels.;;1
1054;538;Medium;Hull repair system designs, intended for cruiser-class vessels.;;1
1055;538;Large;Hull repair system designs, intended for battleship-class vessels.;;1
1056;537;Capital;Remote armor repair system designs, intended for capital-class vessels.;;1
1057;537;Large;Remote armor repair system designs, intended for battleship-class vessels.;;1
1058;537;Medium;Remote armor repair system designs, intended for cruiser-class vessels.;;1
1059;537;Small;Remote armor repair system designs, intended for frigate-class vessels.;;1
1060;1018;Small;Remote hull repair system designs, intended for use on frigate-class vessels.;;1
1061;1018;Medium;Remote hull repair system designs, intended for use on cruiser-class vessels.;;1
1062;1018;Large;Remote hull repair system designs, intended for use on battleship-class vessels.;;1
1063;1018;Capital;Remote hull repair system designs, intended for use on capital-class vessels.;;1
1065;1364;Electronic Attack Frigates;Frigates specialized in electronic warfare.;1443;0
1066;1065;Amarr;Amarr electronic attack frigate designs.;;1
1067;1065;Caldari;Caldari electronic attack frigate designs.;;1
1068;1065;Gallente;Gallente electronic attack frigate designs.;;1
1069;1065;Minmatar;Minmatar electronic attack frigate designs.;;1
1070;1368;Heavy Interdiction Cruisers;Cruiser-class vessels, designed to pull other vessels out of warp.;1443;0
1071;1070;Amarr;Amarr heavy interdiction cruiser designs.;;1
1072;1070;Caldari;Caldari heavy interdiction cruiser designs.;;1
1073;1070;Gallente;Gallente heavy interdiction cruiser designs.;;1
1074;1070;Minmatar;Minmatar heavy interdiction cruiser designs.;;1
1075;1377;Black Ops;Battleship-Class vessels, designed to operate behind enemy lines.;1443;0
1076;1075;Amarr;Amarr black ops designs.;;1
1077;1075;Caldari;Caldari black ops designs.;;1
1078;1075;Gallente;Gallente black ops designs.;;1
1079;1075;Minmatar;Minmatar black ops designs.;;1
1080;1377;Marauders;Battleship-Class vessels, intended for prolonged frontline deployment.;1443;0
1081;1080;Amarr;Amarr marauder designs.;;1
1082;1080;Caldari;Caldari marauder designs;;1
1083;1080;Gallente;Gallente marauder designs.;;1
1084;1080;Minmatar;Minmatar marauder designs.;;1
1085;657;Warp Disruption Field Generators;A ship system that generates a local warp disruption field, preventing warp travel.;;1
1086;132;Inertia Stabilizers;Ship systems that stabilize the ship and allow for more graceful maneuvers.;;1
1087;132;Overdrives;Ship systems that add more raw power to the ship's engines.;;1
1088;132;Warp Core Stabilizers;Ship systems that help to keep the warp drive operational, despite interference.;;1
1089;1381;Jump Freighters;Capital cargo ships with jump drive capabilities, bringing trade and commerce to distant stars.;1443;0
1090;1089;Amarr;Amarr jump freighter designs.;;1
1091;1089;Caldari;Caldari jump freighter designs.;;1
1092;1089;Gallente;Gallente jump freighter designs.;;1
1093;1089;Minmatar;Minmatar jump freighter designs.;;1
1094;11;Scripts;Scripts for calibrating certain module functions. ;;1
1096;533;Rogue Drone Components;Salvaged bits and pieces from destroyed Rogue Drones, can be integrated with current drone technology for improved performance.;;1
1097;800;Advanced Capital Ship Components;Blueprints of Advanced Capital Ship Components.;2703;0
1098;1035;Advanced Capital Ship Components;Modular components used in the manufacture of advanced capital ships.;1436;0
1099;1098;Amarr;Advanced components for amarrian capital ship designs.;;1
1100;1098;Caldari;Advanced components for caldarian capital ship designs.;;1
1101;1098;Gallente;Advanced components for gallentean capital ship designs.;;1
1102;1098;Minmatar;Advanced components for minmataran capital ship designs.;;1
1103;11;Nanite Repair Paste;A nanite packed fluid, used for emergency repairs of ship modules.;;1
1105;211;Scripts;Blueprints of scripts.;;1
1108;19;Pilot's License Extensions (PLEX);Special ISK-priced capsuleering licenses offered as an alternative to regular piloting contracts.;;1
1109;19;Sleeper Components;Mysterious pieces of technology of Sleeper origin.;;1
1110;150;Scanning;Skills dedicated to identification and signature recognition procedures.;;1
1111;955;Rigs;Rigs can be used on any ship with rig slots and enough calibration points to fit them.;3203;0
1112;955;Subsystems;Piecemeal components for modular ship designs.;3641;0
1122;1610;Amarr Engineering Subsystems;Amarr engineering subsystems.;3636;1
1123;1625;Caldari Engineering Subsystems;Caldari engineering subsystems.;3636;1
1124;1627;Gallente Engineering Subsystems;Gallente engineering subsystems.;3636;1
1125;1626;Minmatar Engineering Subsystems;Minmatar engineering subsystems.;3636;1
1126;1610;Amarr Defensive Subsystems;Amarr defensive subsystems.;3631;1
1127;1625;Caldari Defensive Subsystems;Caldari defensive subsystems.;3631;1
1128;1626;Minmatar Defensive Subsystems;Minmatar defensive subsystems.;3631;1
1129;1627;Gallente Defensive Subsystems;Gallente defensive subsystems.;3631;1
1130;1610;Amarr Offensive Subsystems;Amarr offensive subsystems.;3641;1
1131;1625;Caldari Offensive Subsystems;Caldari offensive subsystems.;3641;1
1132;1627;Gallente Offensive Subsystems;Gallente offensive subsystems.;3641;1
1133;1626;Minmatar Offensive Subsystems;Minmatar offensive subsystems.;3641;1
1134;1610;Amarr Propulsion Subsystems;Amarr propulsion subsystems.;3646;1
1135;1625;Caldari Propulsion Subsystems;Caldari propulsion subsystems.;3646;1
1136;1627;Gallente Propulsion Subsystems;Gallente propulsion subsystems.;3646;1
1137;1626;Minmatar Propulsion Subsystems;Minmatar propulsion subsystems.;3646;1
1138;1368;Strategic Cruisers;Highly advanced cruisers that use modular components to achieve maximum versatility.;1443;0
1139;1138;Amarr;Amarr strategic cruiser designs.;;1
1140;1138;Caldari;Caldari strategic cruiser designs.;;1
1141;1138;Gallente;Gallente strategic cruiser designs.;;1
1142;1138;Minmatar;Minmatar strategic cruiser designs.;;1
1143;507;Polymer Reactions;Reactions involving polymers.;;1
1144;533;Fullerenes & Polymers;Fullerene and polymer materials.;2684;0
1145;1144;Fullerenes;This rare form of gas can only be harvested in wormhole space.;;1
1146;1144;Polymers;Material made from combining fullerenes.;;1
1147;1035;Hybrid Components;The building blocks of advanced subsystems.;;1
1148;533;Ancient Salvaged Materials;Despite being very old, these materials hold unimaginable technological secrets.;;1
1149;1036;Ancient Relics;A variety of ancient and valuable items.;;1
1150;806;Hybrid Decryptors;Decryptors allow the integration of ancient technology with modern systems.;;1
1191;800;Hybrid Components;Blueprints of Hybrid Components.;;1
1192;115;Faction Auto-Targeting;Faction auto-targeting designs.;;1
