TYPEID;ATTRIBUTEID;VALUEINT;VALUEFLOAT
3764;1281;;1
3764;1336;;0
3764;1547;;4
3764;1549;;60000
3764;1555;;14000
3764;1768;;11324
3764;1785;;1
3764;1813;;2000
3766;3;0;
3766;9;;300
3766;11;;26
3766;12;;2
3766;13;;5
3766;14;;2
3766;15;0;
3766;19;1;
3766;21;;0
3766;37;;410
3766;48;;225
3766;49;0;
3766;55;;130000
3766;70;;3.22
3766;76;;65000
3766;79;1500;
3766;101;;2
3766;102;;0
3766;109;;1
3766;110;;1
3766;111;;1
3766;113;;1
3766;124;16777215;
3766;129;2;
3766;136;;1
3766;153;;0.00000224
3766;182;3329;
3766;192;;6
3766;208;;0
3766;209;;12
3766;210;;0
3766;211;;0
3766;217;397;
3766;246;397;
3766;263;;350
3766;265;;300
3766;267;;0.4
3766;268;;0.9
3766;269;;0.75
3766;270;;0.65
3766;271;;1
3766;272;;0.5
3766;273;;0.6
3766;274;;0.8
3766;277;;1
3766;283;;5
3766;422;1;
3766;460;;10
3766;479;;625000
3766;482;;235
3766;484;;0.75
3766;511;;0
3766;524;;0.75
3766;525;;1
3766;552;;34
3766;564;;560
3766;587;;7.5
3766;600;;5
3766;633;0;
3766;661;;3000
3766;662;;0.05
3766;1132;;400
3766;1137;3;
3766;1154;3;
3766;1178;;100
3766;1179;;0.01
3766;1196;;0.01
3766;1198;;0.01
3766;1199;;100
3766;1200;;100
3766;1224;;1
3766;1259;;0.25
3766;1261;;0.71
3766;1262;;0.25
3766;1271;;5
3766;1281;;1
3766;1547;;1
3766;1555;;25
3766;1768;;11342
3768;3;0;
3768;9;85;
3768;11;30;
3768;12;3;
3768;13;2;
3768;14;3;
3768;15;0;
3768;19;1;
3768;21;;0
3768;37;285;
3768;48;150;
3768;49;0;
3768;55;;187500
3768;70;;3.1
3768;76;;30000
3768;79;2500;
3768;101;1;
3768;102;2;
3768;109;;1
3768;110;;1
3768;111;;1
3768;113;;1
3768;124;16777215;
3768;129;8;
3768;136;;1
3768;153;;0.00000167
3768;182;3331;
3768;192;5;
3768;208;0;
3768;209;0;
3768;210;12;
3768;211;0;
3768;217;394;
3768;246;394;
3768;263;;156
3768;265;344;
3768;267;;0.5
3768;268;;0.8
3768;269;;0.75
3768;270;;0.65
3768;271;;1
3768;272;;0.5
3768;273;;0.6
3768;274;;0.8
3768;277;5;
3768;283;;5
3768;422;1;
3768;479;;625000
3768;482;;187.5
3768;484;;0.75
3768;511;;0
3768;524;;0.75
3768;525;;1
3768;552;;30
3768;564;;750
3768;600;;5
3768;633;0;
3768;661;;3000
3768;662;;0.05
3768;1132;;400
3768;1137;3;
3768;1154;3;
3768;1178;;100
3768;1179;;0.01
3768;1196;;0.01
3768;1198;;0.01
3768;1199;;100
3768;1200;;100
3768;1224;;1
3768;1259;;0.5
3768;1261;;0.25
3768;1262;;0.5
3768;1271;;5
3768;1281;;1
3768;1547;;1
3770;9;;100000000
3772;9;;100000000
3774;9;;100000000
3775;1640;;7200
3775;1641;;7200
3776;9;;100000000
3778;9;;100000000
3779;1640;;400
3779;1641;;400
3780;9;;100000000
3781;9;;100000000
3782;9;;100000000
3783;9;;100000000
3784;9;;100000000
3785;9;;100000000
3786;9;;100000000
3787;9;;100000000
3788;9;;100000000
3789;9;;100000000
3790;9;;100000000
3791;9;;100000000
3793;6;;20
3793;9;;40
3793;30;;1
3793;50;;20
3793;54;;5000
3793;73;;10000
3793;183;;21718
3793;278;;1
3793;422;;1
3793;633;;0
3793;902;;15
3807;9;;100000000
3828;1640;;7200
3828;1641;;7200
3829;9;40;
3829;30;28;
3829;50;30;
3829;72;750;
3829;182;3425;
3829;277;1;
3829;422;1;
3829;633;0;
3829;983;;7
3831;9;40;
3831;30;31;
3831;50;34;
3831;72;1050;
3831;182;3425;
3831;277;4;
3831;422;2;
3831;633;5;
3831;983;;7
3832;422;2;
3839;9;40;
3839;30;150;
3839;50;40;
3839;72;1875;
3839;182;3425;
3839;277;1;
3839;422;1;
3839;633;0;
3839;983;;25
3841;9;40;
3841;30;165;
3841;50;46;
3841;72;2625;
3841;182;3425;
3841;277;4;
3841;422;2;
3841;633;5;
3841;983;;25
3842;422;2;
3849;9;40;
3849;30;1;
3849;50;15;
3849;72;94;
3849;182;;3425
3849;277;1;
3849;422;1;
3849;633;0;
3849;983;;1
3851;9;40;
3851;30;1;
3851;50;17;
3851;72;131;
3851;182;3425;
3851;277;2;
3851;422;2;
3851;633;5;
3851;983;;1
3864;524;;1
3865;9;100000000;
3865;524;;1
3866;9;100000000;
3866;524;;1
3867;9;100000000;
3867;524;;1
3868;9;100000000;
3868;524;;1
3869;9;100000000;
3869;524;;1
3870;9;100000000;
3870;524;;1
3871;9;100000000;
3871;524;;1
3872;9;100000000;
3872;524;;1
3878;3;0;
3878;9;1250;
3878;11;1750;
3878;12;4;
3878;13;6;
3878;14;6;
3878;15;0;
3878;19;1;
3878;21;;0
3878;37;300;
3878;48;900;
3878;49;0;
3878;55;;491250
3878;70;;0.65
3878;76;;65000
3878;79;2000;
3878;101;3;
3878;102;4;
3878;109;;1
3878;110;;1
3878;111;;1
3878;113;;1
3878;124;16777215;
3878;129;450;
3878;136;;1
3878;153;;0.000000813
3878;182;3758;
3878;192;7;
3878;208;12;
3878;209;12;
3878;210;12;
3878;211;12;
3878;217;397;
3878;246;397;
3878;263;;2500
3878;265;1375;
3878;267;;0.4
3878;268;;0.8
3878;269;;0.65
3878;270;;0.55
3878;271;;1
3878;272;;0.5
3878;273;;0.6
3878;274;;0.8
3878;277;1;
3878;283;;50
3878;422;1;
3878;479;;1250000
3878;482;;437.5
3878;484;;0.75
3878;524;;0.75
3878;525;;1
3878;552;;100
3878;564;;300
3878;600;;3
3878;633;0;
3878;661;;2000
3878;662;;0.25
3878;1132;;350
3878;1137;3;
3878;1154;3;
3878;1178;;100
3878;1179;;0.01
3878;1196;;0.01
3878;1198;;0.01
3878;1199;;100
3878;1200;;100
3878;1224;;0.75
3878;1259;;0.76
3878;1261;;0.76
3878;1262;;0.63
3878;1271;;50
3878;1281;;1
3878;1547;;2
3880;9;100000000;
3881;9;100000000;
3887;9;40;
3887;30;1;
3887;50;0;
3887;182;3432;
3887;202;;1.07
3887;277;1;
3887;422;1;
3887;633;0;
3888;9;40;
3888;30;1;
3888;50;0;
3888;182;3432;
3888;202;;1.1
3888;277;4;
3888;422;2;
3888;633;5;
3893;180;;164
3893;181;;165
3893;182;;3380
3893;183;;3355
3893;275;;2
3893;277;;3
3893;278;;3
3893;280;;0
3894;180;;164
3894;181;;165
3894;182;;3443
3894;183;;3355
3894;275;;2
3894;277;;3
3894;278;;3
3894;280;;0
3895;180;;164
3895;181;;165
3895;182;;3355
3895;183;;3348
3895;275;;2
3895;277;;3
3895;278;;3
3895;280;;0
3897;6;;15
3897;9;40;
3897;30;5;
3897;50;20;
3897;73;;10000
3897;99;2000;
3897;116;;25
3897;182;3421;
3897;277;1;
3897;422;1;
3897;633;0;
3897;916;;0
3898;315;;5
3898;330;;3600000
3898;566;;5
3898;1087;;1
3899;6;;15
3899;9;40;
3899;30;5;
3899;50;20;
3899;73;;10000
3899;99;2000;
3899;116;;35
3899;182;3421;
3899;277;2;
3899;422;2;
3899;633;;5
3899;916;;0
3901;6;;15
3901;9;40;
3901;30;5;
3901;50;20;
3901;73;;10000
3901;99;2000;
3901;117;25;
3901;182;3421;
3901;277;1;
3901;422;1;
3901;633;0;
3901;916;;0
3903;6;;15
3903;9;40;
3903;30;5;
3903;50;20;
3903;73;;10000
3903;99;2000;
3903;117;35;
3903;182;3421;
3903;277;2;
3903;422;2;
3903;633;;5
3903;916;;0
3907;6;;15
3907;9;40;
3907;30;5;
3907;50;20;
3907;73;;10000
3907;99;2000;
3907;118;25;
3907;182;3421;
3907;277;1;
3907;422;1;
3907;633;0;
3907;916;;0
3909;6;;15
3909;9;40;
3909;30;5;
3909;50;20;
3909;73;;10000
3909;99;2000;
3909;118;35;
3909;182;3421;
3909;277;2;
3909;422;2;
3909;633;;5
3909;916;;0
3913;6;;15
3913;9;40;
3913;30;5;
3913;50;20;
3913;73;;10000
3913;99;2000;
3913;114;25;
3913;182;3421;
3913;277;1;
3913;422;1;
3913;633;0;
3913;916;;0
3915;6;;15
3915;9;40;
3915;30;5;
3915;50;20;
3915;73;;10000
3915;99;2000;
3915;114;35;
3915;182;3421;
3915;277;2;
3915;422;2;
3915;633;;5
3915;916;;0
3920;9;;100000000
3937;6;;75
3937;9;40;
3937;30;200;
3937;50;50;
3937;73;;10000
3937;99;4000;
3937;114;0;
3937;116;;100
3937;117;0;
3937;118;0;
3937;182;3421;
3937;277;1;
3937;422;1;
3937;633;0;
3937;916;;0
3939;6;;75
3939;9;40;
3939;30;200;
3939;50;50;
3939;73;;10000
3939;99;4000;
3939;114;0;
3939;116;;140
3939;117;0;
3939;118;0;
3939;182;3421;
3939;277;4;
3939;422;2;
3939;633;5;
3939;916;;0
3940;422;2;
3941;6;;75
3941;9;40;
3941;30;200;
3941;50;50;
3941;73;;10000
3941;99;4000;
3941;114;0;
3941;116;0;
3941;117;100;
3941;118;0;
3941;182;3421;
3941;277;1;
3941;422;1;
3941;633;0;
3941;916;;0
3943;6;;75
3943;9;40;
3943;30;200;
3943;50;50;
3943;73;;10000
3943;99;4000;
3943;114;0;
3943;116;0;
3943;117;140;
3943;118;0;
3943;182;3421;
3943;277;4;
3943;422;2;
3943;633;5;
3943;916;;0
3944;422;2;
3947;6;;75
3947;9;40;
3947;30;200;
3947;50;50;
3947;73;;10000
3947;99;4000;
3947;114;0;
3947;116;0;
3947;117;0;
3947;118;100;
3947;182;3421;
3947;277;1;
3947;422;1;
3947;633;0;
3947;916;;0
3949;6;;75
3949;9;40;
3949;30;200;
3949;50;50;
3949;73;;10000
3949;99;4000;
3949;114;0;
3949;116;0;
3949;117;0;
3949;118;140;
3949;182;3421;
3949;277;4;
3949;422;2;
3949;633;5;
3949;916;;0
3950;422;2;
3953;6;;75
3953;9;40;
3953;30;200;
3953;50;50;
3953;73;;10000
3953;99;4000;
3953;114;100;
3953;116;0;
3953;117;0;
3953;118;0;
3953;182;3421;
3953;277;1;
3953;422;1;
3953;633;0;
3953;916;;0
3955;6;;75
3955;9;40;
3955;30;200;
3955;50;50;
3955;73;;10000
3955;99;4000;
3955;114;140;
3955;116;0;
3955;117;0;
3955;118;0;
3955;182;3421;
3955;277;4;
3955;422;2;
3955;633;5;
3955;916;;0
3956;422;2;
3957;9;;200000
3957;54;;0
3957;158;;0
3957;160;;0
3957;247;;0
3957;250;;5
3957;251;;10
3957;252;;0
3957;263;;50000
3957;265;;100000
3957;416;;0
3957;456;;5
3957;457;;10
3957;479;;86400000
3957;524;;1
3957;525;;1
3957;552;;1000
3957;665;;0
3958;1773;;2
3962;9;;300000
3962;136;;1
3962;182;;11584
3962;208;;200
3962;209;;200
3962;210;;200
3962;211;;200
3962;263;;10000000
3962;265;;500000
3962;277;;1
3962;479;;10000000
3962;484;;0.75
3962;524;;0.75
3962;525;;1
3962;552;;2000
3962;556;;5000
3962;676;;5000
3962;677;;30000
3962;715;;3000
3962;716;;1
3962;872;;1
3962;1770;;3200
3962;1771;;2233
3964;9;;10000
3964;263;;10000
3964;265;;10000
3964;479;;800000
3964;1074;;1
3964;1612;;86400
3964;1613;;3600
3964;1770;;5000000
3966;1773;;1
3967;9;;100000000
3970;9;;100000000
3974;9;;100000000
3975;1773;;3
3975;1797;;25
3977;6;;200
3977;9;40;
3977;30;1000;
3977;50;80;
3977;73;;10000
3977;99;5000;
3977;114;0;
3977;116;;250
3977;117;0;
3977;118;0;
3977;182;3421;
3977;277;1;
3977;422;1;
3977;633;0;
3977;916;;0
3979;6;;220
3979;9;40;
3979;30;1100;
3979;50;80;
3979;73;;10000
3979;99;6000;
3979;114;;0
3979;116;;300
3979;117;;0
3979;118;;0
3979;182;3421;
3979;277;5;
3979;422;2;
3979;633;5;
3979;916;;0
3980;422;2;
3981;6;;200
3981;9;40;
3981;30;1000;
3981;50;80;
3981;73;;10000
3981;99;5000;
3981;114;0;
3981;116;0;
3981;117;250;
3981;118;0;
3981;182;3421;
3981;277;1;
3981;422;1;
3981;633;0;
3981;916;;0
3983;6;;220
3983;9;40;
3983;30;1100;
3983;50;80;
3983;73;;10000
3983;99;6000;
3983;114;;0
3983;116;;0
3983;117;;300
3983;118;;0
3983;182;3421;
3983;277;5;
3983;422;2;
3983;633;5;
3983;916;;0
3984;422;2;
3986;6;;488
3986;9;;40
3986;30;;399
3986;50;;99
3986;54;;9000
3986;73;;6000
3986;83;;230
3986;182;;27902
3986;277;;5
3986;422;;2
3986;633;;5
3987;6;;200
3987;9;40;
3987;30;1000;
3987;50;80;
3987;73;;10000
3987;99;5000;
3987;114;0;
3987;116;0;
3987;117;0;
3987;118;250;
3987;182;3421;
3987;277;1;
3987;422;1;
3987;633;0;
3987;916;;0
3989;6;;220
3989;9;40;
3989;30;1100;
3989;50;80;
3989;73;;10000
3989;99;6000;
3989;114;;0
3989;116;;0
3989;117;;0
3989;118;;300
3989;182;3421;
3989;277;5;
3989;422;2;
3989;633;5;
3989;916;;0
3990;422;2;
3991;422;;2
3992;1773;;1
3993;6;;200
3993;9;40;
3993;30;1000;
3993;50;80;
3993;73;;10000
3993;99;5000;
3993;114;250;
3993;116;0;
3993;117;0;
3993;118;0;
3993;182;3421;
3993;277;1;
3993;422;1;
3993;633;0;
3993;916;;0
3995;6;;220
3995;9;40;
3995;30;1100;
3995;50;80;
3995;73;;10000
3995;99;6000;
3995;114;;300
3995;116;;0
3995;117;;0
3995;118;;0
3995;182;3421;
3995;277;5;
3995;422;2;
3995;633;5;
3995;916;;0
3996;422;2;
3997;1773;;3
3998;1773;;3
3999;1773;;3
4001;1773;;1
4002;1773;;3
4003;1773;;3
4004;1773;;3
4005;3;;0
4005;9;;5469
4005;11;;9000
4005;12;;4
4005;13;;8
4005;14;;6
4005;15;;0
4005;19;;1
4005;21;;0
4005;37;;94
4005;48;;750
4005;49;;0
4005;55;;1087500
4005;70;;0.116
4005;76;;90000
4005;79;;9000
4005;101;;4
4005;102;;4
4005;109;;1
4005;110;;1
4005;111;;1
4005;113;;1
4005;124;;16777215
4005;129;;1000
4005;136;;1
4005;153;;0.000000138
4005;182;;3338
4005;192;;7
4005;208;;0
4005;209;;0
4005;210;;0
4005;211;;24
4005;217;;395
4005;246;;395
4005;263;;6641
4005;265;;5469
4005;267;;0.5
4005;268;;0.9
4005;269;;0.75
4005;270;;0.55
4005;271;;1
4005;272;;0.5
4005;273;;0.6
4005;274;;0.8
4005;277;;1
4005;283;;75
4005;479;;2500000
4005;482;;5312.5
4005;484;;0.75
4005;491;;15
4005;524;;0.75
4005;525;;1
4005;552;;480
4005;564;;75
4005;598;;25
4005;600;;2
4005;633;;0
4005;661;;1000
4005;662;;0.5
4005;797;;249999
4005;1132;;400
4005;1137;;3
4005;1154;;3
4005;1178;;100
4005;1179;;0.01
4005;1196;;0.01
4005;1198;;0.01
4005;1199;;100
4005;1200;;100
4005;1224;;0.5
4005;1259;;0.76
4005;1261;;0.82
4005;1262;;0.63
4005;1271;;75
4005;1281;;1
4005;1547;;3
4005;1555;;500
4005;1692;;4
4005;1768;;11409
4007;9;;100000000
4008;1773;;1
4009;1773;;2
4013;9;40;
4013;30;;1
4013;50;;10
4013;182;3432;
4013;277;1;
4013;422;1;
4013;633;;0
4013;1027;;0
4013;1028;;0
4013;1029;;0
4013;1030;;40
4014;9;40;
4014;30;;1
4014;50;;18
4014;182;3432;
4014;277;3;
4014;422;2;
4014;633;;5
4014;1027;;0
4014;1028;;0
4014;1029;;0
4014;1030;;48
4016;1773;;3
4017;1773;;3
4018;1773;;3
4019;1773;;3
4020;1773;;3
4021;1773;;3
4022;1773;;3
4023;9;100000000;
4023;524;;1
4024;9;100000000;
4024;524;;1
4025;6;;4
4025;9;40;
4025;20;;-57.5
4025;30;;1
4025;50;;21
4025;54;;10000
4025;73;;5000
4025;158;;0
4025;182;3435;
4025;277;1;
4025;422;1;
4025;633;;3
4025;1180;;0.01
4025;1211;;5
4025;1212;1;
4025;1222;;30
4026;1773;;3
4027;6;;4
4027;9;40;
4027;20;;-60
4027;30;;1
4027;50;;22
4027;54;;10000
4027;73;;5000
4027;158;;0
4027;182;3435;
4027;277;1;
4027;422;1;
4027;633;;4
4027;1180;;0.01
4027;1211;;5
4027;1212;1;
4027;1222;;30
4028;1773;;3
4029;6;;5
4029;9;40;
4029;20;;-52.5
4029;30;;1
4029;50;;20
4029;54;;10000
4029;73;;5000
4029;158;;0
4029;182;3435;
4029;277;1;
4029;422;1;
4029;633;;1
4029;1180;;0.01
4029;1211;;5
4029;1212;1;
4029;1222;;30
4030;1773;;3
4031;6;;5
4031;9;40;
4031;20;;-55
4031;30;;1
4031;50;;23
4031;54;;10000
4031;73;;5000
4031;158;;0
4031;182;3435;
4031;277;1;
4031;422;1;
4031;633;;2
4031;1180;;0.01
4031;1211;;5
4031;1212;1;
4031;1222;;30
4032;1773;;3
4033;1773;;3
4034;1773;;3
4035;1773;;3
4036;1773;;3
4037;1773;;2
4038;1773;;2
4039;1773;;2
4042;1773;;2
4043;1773;;2
4046;1773;;2
4048;1773;;2
4050;1773;;2
4052;1773;;2
4054;1773;;3
4057;1773;;1
4058;1773;;1
4059;1773;;1
4060;1773;;1
4061;1773;;3
4062;1773;;3
4063;1773;;3
4064;1773;;3
4065;1773;;3
4066;1773;;3
4067;1773;;1
4068;1773;;1
4069;1773;;3
4070;1773;;3
4071;1773;;3
4072;1773;;3
4073;1773;;3
4074;1773;;3
4075;1773;;3
4076;1773;;3
4077;9;;1000000
4077;154;;2500
4077;265;;1000000
4077;622;;5000000
4078;1773;;3
4085;1773;;3
4086;1773;;3
4088;1773;;3
4096;1773;;1
4097;1773;;1
4098;1773;;1
4099;9;;150000
4099;54;;0
4099;158;;0
4099;160;;0
4099;247;;0
4099;250;;3
4099;251;;4
4099;252;;0
4099;263;;5000
4099;265;;100000
4099;416;;0
4099;456;;3
4099;457;;4
4099;479;;86400000
4099;524;;1
4099;525;;1
4099;552;;1000
4099;665;;0
4100;9;;200
4101;1773;;3
4102;1773;;3
4103;1773;;3
4104;1773;;3
4105;1773;;3
4106;1773;;3
4107;1773;;3
4108;1773;;3
4109;1773;;3
4110;1773;;3
4111;1773;;3
4112;1773;;3
4113;1773;;3
4114;1773;;3
4115;1773;;3
4116;1773;;3
4117;1773;;3
4118;1773;;3
4119;1773;;3
4120;1773;;3
4121;1773;;3
4122;1773;;3
4123;1773;;3
4124;1773;;3
4125;1773;;3
4126;1773;;3
4127;1773;;3
4128;1773;;3
4129;1773;;3
4130;1773;;3
4131;1773;;3
4132;1773;;3
4133;1773;;3
4134;1773;;3
4135;1773;;3
4136;1773;;3
4137;1773;;3
4138;1773;;3
4139;1773;;3
4140;1773;;3
4141;1773;;3
4142;1773;;3
4143;1773;;3
4143;1797;;25
4144;1773;;3
4144;1797;;25
4145;1773;;3
4145;1797;;25
4146;1773;;3
4146;1797;;25
4147;6;;22.5
4147;9;40;
4147;30;;1650
4147;47;1;
4147;50;42;
4147;51;6075;
4147;54;21600;
4147;61;0;
4147;64;;2.4
4147;128;3;
4147;158;;6000
4147;160;;0.0375
4147;182;3309;
4147;183;3300;
4147;184;12215;
4147;277;;5
4147;278;5;
4147;279;1;
4147;422;2;
4147;604;86;
4147;605;375;
4147;620;;400
4147;633;5;
4147;1180;;0.02
4147;1210;;15
4147;1211;;0.7
4147;1212;1;
4147;1768;;11314
4148;422;2;
4149;1773;;3
4149;1797;;25
4150;1773;;3
4150;1797;;25
4151;1773;;3
4151;1797;;25
4152;1773;;3
4152;1797;;25
4153;1773;;3
4153;1797;;25
4154;1773;;3
4154;1797;;25
4155;1773;;3
4156;1773;;3
4157;1773;;3
4158;1773;;3
4159;1773;;3
4160;1773;;3
4161;1773;;3
4162;1773;;3
4163;1773;;3
4164;1773;;3
4165;1773;;1
4166;1773;;1
4167;1773;;1
4168;1773;;1
4169;1773;;1
4170;1773;;1
4171;1773;;1
4172;1773;;1
4173;1773;;1
4174;1773;;1
4175;1773;;1
4176;1773;;1
4177;1773;;1
4178;1773;;1
4179;1773;;1
4180;1773;;1
4181;1773;;1
4182;1773;;1
4183;1773;;1
4184;1773;;1
4185;1773;;1
4186;1773;;1
4187;1773;;1
4188;1773;;1
4189;1773;;1
4190;1773;;1
4191;1773;;1
4192;1773;;1
4193;1773;;1
4194;1773;;1
4195;1773;;1
4196;1773;;1
4197;1773;;1
4198;1773;;1
4199;1773;;1
4200;1773;;1
4201;1773;;3
4202;1773;;3
4203;1773;;3
4204;1773;;3
4205;1773;;3
4206;1773;;3
4207;1773;;3
4208;1773;;3
4209;1773;;3
4210;1773;;3
4211;1773;;3
4212;1773;;3
4213;1773;;3
4214;1773;;3
4215;1773;;3
4216;1773;;3
4217;1773;;3
4218;1773;;3
4219;1773;;3
4220;1773;;3
4221;1773;;3
4222;1773;;3
4223;1773;;3
4224;1773;;3
4225;1773;;3
4226;1773;;3
4227;1773;;3
4228;1773;;3
4229;1773;;3
4230;1773;;3
4231;1773;;3
4232;1773;;3
4233;1773;;1
4234;1773;;1
4235;1773;;1
4236;1773;;1
4237;1773;;1
4238;1773;;1
4239;1773;;1
4240;1773;;1
4241;1773;;1
4242;1773;;1
4243;1773;;1
4244;1773;;1
4245;1773;;1
4248;6;;150
4248;9;;40
4248;30;;84
4248;50;;55
4248;73;;30000
4248;103;;19200
4248;182;;11446
4248;183;;3435
4248;277;;5
4248;278;;5
4248;422;;2
4248;554;;50
4248;604;;908
4248;633;;5
4248;854;;1
4248;1074;;1
4248;1076;;0
4248;1131;;-80
4248;1164;;-90
4248;1270;;-80
4248;1298;;894
4248;1318;;100
4249;422;;2
4250;6;;5
4250;9;;40
4250;30;;7
4250;47;;1
4250;50;;25
4250;54;;24000
4250;61;;0
4250;63;;0
4250;73;;5000
4250;124;;8627698
4250;182;;3402
4250;277;;5
4250;422;;2
4250;633;;5
4250;1045;;600
4250;1768;;11346
4251;422;;2
4252;6;;200
4252;9;;40
4252;30;;75000
4252;47;;1
4252;50;;110
4252;54;;240000
4252;61;;0
4252;63;;0
4252;73;;20000
4252;124;;8627698
4252;182;;11446
4252;277;;5
4252;422;;2
4252;633;;5
4252;1045;;3600
4252;1298;;883
4252;1768;;11346
4253;422;;2
4254;9;;40
4254;30;;0
4254;50;;18
4254;182;;3418
4254;277;;5
4254;422;;2
4254;549;;12
4254;633;;5
4255;422;;2
4256;9;;40
4256;30;;10
4256;47;;1
4256;50;;55
4256;51;;10000
4256;56;;1
4256;182;;28073
4256;277;;5
4256;422;;2
4256;604;;90
4256;605;;863
4256;606;;864
4256;633;;5
4256;669;;135000
4256;763;;1
4256;801;;2
4256;1014;;1
4256;1074;;1
4256;1298;;834
4256;1544;;1
4256;1768;;11325
4257;422;;2
4258;9;;40
4258;30;;1
4258;47;;1
4258;50;;20
4258;51;;1500
4258;56;;1
4258;73;;10000
4258;182;;3412
4258;277;;5
4258;422;;2
4258;604;;479
4258;633;;5
4258;763;;1
4258;846;;5
4258;1014;;1
4258;1544;;1
4259;422;;2
4260;9;;40
4260;30;;1
4260;47;;1
4260;50;;242
4260;51;;2000
4260;56;;1
4260;73;;10000
4260;182;;3412
4260;277;;5
4260;422;;2
4260;604;;479
4260;633;;5
4260;763;;1
4260;846;;5
4260;1014;;1
4260;1544;;1
4261;422;;2
4262;6;;25
4262;9;;40
4262;30;;110
4262;50;;55
4262;73;;10000
4262;182;;3348
4262;183;;11569
4262;277;;5
4262;278;;5
4262;422;;2
4262;633;;5
4262;763;;1
4262;833;;-6
4262;1298;;540
4262;1299;;963
4262;1300;;547
4262;1301;;659
4262;1872;;30
4262;1879;;419
4262;1880;;941
4262;1881;;883
4262;1882;;0
4262;1920;;1
4263;422;;2
4264;6;;25
4264;9;;40
4264;30;;110
4264;50;;55
4264;73;;10000
4264;182;;3348
4264;183;;11569
4264;277;;5
4264;278;;5
4264;422;;2
4264;633;;5
4264;763;;1
4264;833;;-6
4264;1298;;540
4264;1299;;963
4264;1300;;547
4264;1301;;659
4264;1872;;30
4264;1879;;419
4264;1880;;941
4264;1881;;883
4264;1882;;0
4264;1920;;1
4265;422;;2
4266;6;;25
4266;9;;40
4266;30;;110
4266;50;;55
4266;73;;10000
4266;182;;3348
4266;183;;11569
4266;277;;5
4266;278;;5
4266;422;;2
4266;633;;5
4266;763;;1
4266;833;;-6
4266;1298;;540
4266;1299;;963
4266;1300;;547
4266;1301;;659
4266;1872;;30
4266;1879;;419
4266;1880;;941
4266;1881;;883
4266;1882;;0
4266;1920;;1
4267;422;;2
4268;6;;25
4268;9;;40
4268;30;;110
4268;50;;55
4268;73;;10000
4268;182;;3348
4268;183;;3352
4268;277;;5
4268;278;;5
4268;422;;2
4268;633;;5
4268;763;;1
4268;1298;;540
4268;1299;;963
4268;1300;;547
4268;1301;;659
4268;1310;;1
4268;1320;;8
4268;1321;;5
4268;1322;;5
4268;1323;;8
4268;1872;;30
4268;1879;;419
4268;1880;;941
4268;1881;;883
4268;1882;;0
4268;1920;;1
4269;422;;2
4270;6;;25
4270;9;;40
4270;30;;110
4270;50;;55
4270;73;;10000
4270;182;;3348
4270;183;;3352
4270;277;;5
4270;278;;5
4270;422;;2
4270;633;;5
4270;763;;1
4270;833;;8
4270;1298;;540
4270;1299;;963
4270;1300;;547
4270;1301;;659
4270;1872;;30
4270;1879;;419
4270;1880;;941
4270;1881;;883
4270;1882;;0
4270;1920;;1
4271;422;;2
4272;6;;25
4272;9;;40
4272;30;;110
4272;50;;55
4272;73;;10000
4272;182;;3348
4272;183;;3352
4272;277;;5
4272;278;;5
4272;422;;2
4272;633;;5
4272;763;;1
4272;833;;12
4272;1298;;540
4272;1299;;963
4272;1300;;547
4272;1301;;659
4272;1872;;30
4272;1879;;419
4272;1880;;941
4272;1881;;883
4272;1882;;0
4272;1920;;1
4273;422;;2
4274;6;;25
4274;9;;40
4274;30;;110
4274;50;;55
4274;73;;10000
4274;182;;3348
4274;183;;22552
4274;277;;5
4274;278;;5
4274;422;;2
4274;633;;5
4274;763;;1
4274;833;;-7.5
4274;1298;;540
4274;1299;;963
4274;1300;;547
4274;1301;;659
4274;1872;;30
4274;1879;;419
4274;1880;;941
4274;1881;;883
4274;1882;;0
4275;422;;2
4276;6;;25
4276;9;;40
4276;30;;110
4276;50;;55
4276;73;;10000
4276;182;;3348
4276;183;;22552
4276;277;;5
4276;278;;5
4276;422;;2
4276;633;;5
4276;763;;1
4276;833;;-7.5
4276;1298;;540
4276;1299;;963
4276;1300;;547
4276;1301;;659
4276;1872;;30
4276;1879;;419
4276;1880;;941
4276;1881;;883
4276;1882;;0
4277;422;;2
4278;6;;25
4278;9;;40
4278;30;;110
4278;50;;55
4278;73;;10000
4278;182;;3348
4278;183;;22552
4278;277;;5
4278;278;;5
4278;422;;2
4278;633;;5
4278;763;;1
4278;833;;17
4278;1298;;540
4278;1299;;963
4278;1300;;547
4278;1301;;659
4278;1872;;30
4278;1879;;419
4278;1880;;941
4278;1881;;883
4278;1882;;0
4279;422;;2
4280;6;;25
4280;9;;40
4280;30;;110
4280;50;;55
4280;73;;10000
4280;182;;3348
4280;183;;3351
4280;277;;5
4280;278;;5
4280;422;;2
4280;633;;5
4280;763;;1
4280;833;;-6
4280;1298;;540
4280;1299;;963
4280;1300;;547
4280;1301;;659
4280;1872;;30
4280;1879;;419
4280;1880;;941
4280;1881;;883
4280;1882;;0
4280;1920;;1
4281;422;;2
4282;6;;25
4282;9;;40
4282;30;;110
4282;50;;55
4282;73;;10000
4282;182;;3348
4282;183;;3351
4282;277;;5
4282;278;;5
4282;422;;2
4282;633;;5
4282;763;;1
4282;833;;-6
